nama,AIR MINERAL,BAKSO SAPI,CAPPUCINO CINCAU,CWIE MIE,CWIE MIE BAKSO,CWIE MIE PANGSIT,DIMSUM BOLA KEJU,DIMSUM BOLA RAMBUTAN,DIMSUM EKADO,DIMSUM KEICHAK,DIMSUM LUMPIA NORI,DIMSUM MONEY BAG,DIMSUM SIOMAY AYAM,DIMSUM SIOMAY BEEF,DIMSUM SIOMAY CRAB,DIMSUM SIOMAY JAMUR,DIMSUM SIOMAY KEJU,DIMSUM SIOMAY MOZARELLA,DIMSUM SIOMAY RANJAU,DIMSUM SIOMAY SALMON,DIMSUM SPRING ROLL,DIMSUM SUSHI,DIMSUM TIM TAHU,DIMSUM XIAO LONG BAO,ES BERAS KENCUR,ES JERUK,ES KOPI MILO,ES KOPI SUSU,ES KOPI SUSU RUM REGAL,ES KOPI SUSU VANILLA,ES LEMON TEA,ES MILO,ES TEH,GOODDAY CAPPUCINO,GREEN THAI TEA,HOT LEMON TEA,JERUK HANGAT,KOPI HITAM,MIE AYAM,MIE AYAM BAKSO,MIE AYAM CEKER,MIE AYAM KOMPLIT,MIE AYAM PANGSIT,MIE GEMES LV 1,MIE GEMES LV 2,MIE GEMES LV 3,MIE GEMES LV 4,MIE KALEM,MIE YAMIN (0),MIE YAMIN LV 1,MIE YAMIN LV 2,MIE YAMIN LV 3,MIE YAMIN LV 4,PANGSIT GORENG,PANGSIT REBUS,TEH HANGAT,THAI TEA
ES KOPI SUSU,0.022883787706175527,0.03737483076644493,0.017431108471260007,0.027817386141608287,0.027294510373519817,0.02060433495401587,0.031008298322656787,0.019574841571957123,0.009771380141311573,0.025575899136828575,0.018118414504116023,0.033795850597612496,0.02489196977743613,0.01794997201051942,0.01993827160493826,0.010997446401918468,0.01879899442860891,0.0095572956663887,0.008555371394229913,0.016269545137537207,0.019914867909085705,0.020372602031635385,0.0237060410062125,0.008662420388390019,0.02272321162760566,0.030007842917944873,0.04073981849833917,1.0,0.021343011261515343,0.036539136539136555,0.024867718403491737,0.03603059452496529,0.01841668183460038,0.01191828095791605,0.021959035342247028,0.007854077318972447,0.01739259780327604,0.02361563293148512,0.013733435945804827,0.03692394865908648,0.018085029489350177,0.0,0.027420600659414943,0.011173291852898745,0.012153473952537925,0.01141157826370717,0.01300134670069894,0.019866410367071916,0.028165778024030315,0.02658088922584206,0.028710137927606884,0.01677073884512641,0.020964483237922348,0.010596338718244405,0.020710168891417163,0.020113136855823464,0.02981763214145698
ES KOPI SUSU RUM REGAL,0.0022284380967624294,0.006123605325226202,0.016092200367915352,0.003725624322993817,0.016101612853058125,0.016220130181533475,0.018312050750487877,0.006087036821476814,0.022224863355670418,0.0,0.012344911810890574,0.011949096253031267,0.009582481945621764,0.0,0.02330417261289716,0.009910386982947576,0.0,0.017650950447647373,0.0,0.006072213458527627,0.0066373899839213355,0.010204209888056561,0.003602412191464148,0.0,0.002588866375652989,0.014151686882866206,0.0030286587293943037,0.021343011261515357,1.0,0.05186690518855637,0.02243071823930402,0.02064013087372144,0.00813269381892298,0.0059274057707088875,0.013642706813391265,0.01878862637697378,0.0057724474505668364,0.00625057230938496,0.004927583221147092,0.014350160043738094,0.010674145574051922,0.0,0.005509701749707337,0.008593843109459036,0.013058610531037108,0.0,0.0,0.011404996049976447,0.015428877131642673,0.015772086813868214,0.0186477675445517,0.00875173628893657,0.008590747828255875,0.009526384896004969,0.0,0.009894957103747623,0.015985480967778444
ES KOPI SUSU VANILLA,0.016021667836060998,0.030193398900648264,0.029389954743760025,0.01907030922584906,0.03240182804523532,0.02223019845885204,0.024496360700788644,0.019990617821365207,0.02394801370303387,0.0191521937809794,0.03162195195814016,0.034994876672938456,0.024497176320890608,0.012162679523422636,0.014407633183143377,0.023904058415451027,0.015303774654488662,0.024508467217898417,0.004701532711809599,0.0021986763783503963,0.01920085266225049,0.027048915277340983,0.0017378106467341463,0.0,0.016992139825404547,0.021460192804562673,0.02863067403689279,0.03653913653913658,0.051866905188556356,1.0,0.03730714332405261,0.03266169134122586,0.021165015446232237,0.015064140872106863,0.021179034308845848,0.021603611733267435,0.020561879614685117,0.008624691936082347,0.01868602107693174,0.03455445957674131,0.019501313349277356,0.0,0.016108244200774027,0.018618420558892804,0.01787522195634255,0.014092928422878057,0.00401395420086574,0.01307957998886761,0.026381410831736903,0.034105102985799884,0.03504468009673834,0.01275750407643469,0.027639993193147784,0.020706682269913568,0.02051773935113602,0.0180648194110434,0.026302629050587185
ES LEMON TEA,0.04272941630461684,0.04712066055634391,0.05861225884328485,0.03901705697430165,0.05686531177109924,0.05419855970773709,0.060994368906472085,0.06320773073153015,0.03460349333928321,0.036902617690544974,0.059545131674922425,0.05410032955923028,0.05943647190000782,0.03673733450869349,0.03861086418159743,0.03387647559010792,0.02623635740622508,0.05449687257064951,0.010225063577560844,0.048650009867333255,0.03287342236160587,0.027718364225479276,0.026588565488478835,0.0,0.05294205817521106,0.07318115350876668,0.036888251888860135,0.024867718403491747,0.02243071823930401,0.037307143324052605,1.0,0.08821559046032873,0.05441673683118442,0.04665632356639224,0.07103240429368216,0.043475584446684895,0.03162601989115429,0.011312764506217415,0.04288775507030365,0.07022389731541838,0.06438813976226546,0.0,0.05377481492641131,0.04300118746235251,0.05068011949553581,0.032292164575192704,0.02732379400959193,0.045002619994352094,0.05098158463977626,0.08200778127330009,0.07904527782107479,0.061232816472087614,0.05187106554594591,0.01855672472146184,0.03574057419796839,0.0342359626925685,0.05574895881023078
ES MILO,0.06284909442607778,0.08695344035849542,0.1059847067439407,0.06850452362902679,0.07099396156478845,0.08972780031932596,0.09228845325689819,0.09361150068345891,0.036668863002832564,0.03865644795114838,0.08365974127716938,0.06487452968462533,0.10064864211337057,0.03687870185546444,0.05074262762574753,0.05185433178697975,0.04828087992713133,0.10767238567715275,0.013403194940056607,0.04228143663444756,0.03780638700048234,0.06064625686281331,0.03022039088890706,0.0,0.0763121610206419,0.14137879584566282,0.06377353069411407,0.03603059452496539,0.02064013087372148,0.03266169134122592,0.08821559046032892,1.0,0.14679338478833628,0.08212473837434081,0.1021936386044206,0.01905823074257686,0.08459034497332164,0.025791680868083647,0.095367745344517,0.08611328977654521,0.08753598005534013,0.0036396875887857757,0.06684746863452652,0.09163297964653436,0.0700606756759187,0.04608724025468251,0.03284416716805092,0.1206762583404519,0.16481668934023097,0.14911340184242527,0.1258278637758059,0.08844224929236365,0.06246347867554164,0.03326676028140837,0.054309324418072936,0.09218840495869376,0.07568228439548665
ES TEH,0.10034891071129139,0.16267023728125357,0.0929259786603257,0.09707057984224984,0.08744729090670286,0.10139642362579218,0.10411218405251525,0.11336806855112655,0.032669033977013436,0.0534399223003511,0.07566744838833375,0.08381740032053417,0.11420798845373686,0.03951414820249747,0.052874315612902616,0.04790162139452001,0.04468533461732711,0.10630289365347481,0.015748805472874525,0.05535270178685072,0.05583849745147716,0.05865447820963233,0.038422494037728766,0.008435136694218697,0.0679389231803812,0.17306729789434835,0.04682817372312136,0.026640639423522378,0.016471363742341084,0.02935300975144378,0.062269066276134974,0.15373514337841548,1.0,0.05433704870805485,0.08540176238893944,0.015894124947544396,0.08394950606914692,0.030352445774309598,0.18901345915369822,0.16083576350671905,0.1301766776384662,0.012048721624697153,0.12502515415626786,0.1085105212230065,0.08280690455555681,0.060341708148357084,0.04512204103008631,0.1142044722846802,0.17278342183268042,0.20284582463782652,0.17542318607091864,0.12112037512642929,0.08829084360808864,0.0447974556661795,0.0630309121716747,0.13880638847726784,0.056928545806636505
GOODDAY CAPPUCINO,0.030659696549893645,0.03997231876591518,0.05277581187924536,0.03802129475071143,0.034768992436493805,0.03501373492286305,0.03433140438875579,0.05070967109914001,0.015866150252762286,0.023064968145872444,0.04182445607029954,0.039519530830507715,0.047452673808085315,0.0065025310808621015,0.029013625177986946,0.025637631587703064,0.01699037947877338,0.0378535995330779,0.002973866813054689,0.019339165851656535,0.020904816373912453,0.01476427534135219,0.011478965113402833,0.012058216627487562,0.031033554403595502,0.05691484821158967,0.04172447517579395,0.011918280957916076,0.005927405770708895,0.015064140872106885,0.04665632356639232,0.08212473837434078,0.0464231804641409,1.0,0.0383525713974182,0.005481676858201051,0.026021930587439766,0.013716886420807603,0.034000342395558075,0.03743666856129656,0.04547694213767327,0.0,0.03278667112436497,0.04172095704514574,0.04092363204780888,0.025444449240774363,0.019148974351607225,0.04588393732940177,0.04544496497374668,0.047197842960064525,0.05331797734350363,0.03581937610645718,0.030709370907169777,0.023215661044496922,0.019134992187852907,0.02948940115957395,0.021285423784774007
GREEN THAI TEA,0.04176409571192731,0.06220890956539333,0.08105255933503897,0.04408188862086243,0.06704008367503009,0.05514507023740191,0.07565869264122,0.05833984147623165,0.02586768902673192,0.03538098010089189,0.06438297293314153,0.04795409796865656,0.06993858562327115,0.036618490650359325,0.04005247952037427,0.034138940592663584,0.04511454949790533,0.07477379215610866,0.010268496494930193,0.04445455274846072,0.03618510113458404,0.045662748020186154,0.03432681832402114,0.0,0.058103883758408324,0.07704533414666308,0.07576639124488545,0.02195903534224704,0.013642706813391265,0.021179034308845848,0.07103240429368218,0.1021936386044204,0.07778598964982739,0.03835257139741814,1.0,0.018933433654833673,0.04003766538080425,0.012617238717735995,0.05469152209246756,0.0757633840491215,0.06776547093311587,0.0,0.05719162112415215,0.058195299361609054,0.06111480993396859,0.03995153321192927,0.03129277898003738,0.06530687166112963,0.06601859319819665,0.08483811983862186,0.09549845541418767,0.06722672819614389,0.055588629309289886,0.02571684656523671,0.05750177420673201,0.039018677722053176,0.10341745012613887
HOT LEMON TEA,0.0002348837536392917,0.011324960381612834,0.013390230659163465,0.0086193286321485,0.03731081025967159,0.020645416389407915,0.009870890643992315,0.012665077690689207,0.006826932271476585,0.005415507431120555,0.019049378946176736,0.0036832198661269863,0.02068720256941484,0.024965968810769488,0.009215664671338553,0.006103645623149528,0.016370133678989054,0.01469212117861679,0.0062768636052879774,0.011236986849264342,0.009204233047580519,0.012575902137936043,0.0,0.0,0.019194783668271244,0.016651401168838488,0.014020865270207768,0.007854077318972445,0.01878862637697376,0.02160361173326742,0.04347558444668488,0.0190582307425768,0.0075467741583946655,0.005481676858201037,0.018933433654833656,1.0,0.015345305692863083,0.005719406041986692,0.008817228628808906,0.0425008057102151,0.021408372433473048,0.0,0.01870551520584397,0.006301447080534884,0.016607632465747077,0.008938052046702769,0.007666857108195302,0.007531370623756735,0.014238541289390734,0.013766825593615499,0.009454059835752069,0.017533503746563553,0.0095351177476622,0.011746103080845179,0.014205366866013161,0.024422512866484967,0.024051999831835213
JERUK HANGAT,0.06367024349541044,0.08957031908806119,0.04399695794857461,0.04768275586049903,0.07824846084391522,0.07099508905955648,0.033236823971258794,0.04070628483172416,0.03048682370671823,0.023442653399248628,0.03575322715808216,0.035440228073896934,0.06067707072907616,0.025171169161296063,0.02385415014086903,0.03202797320779316,0.03165069645327698,0.05530410376801694,0.009335224551591893,0.0425896404907552,0.02694989440080283,0.038091232816185636,0.016730783653307862,0.0076966799801193985,0.05287093194017052,0.11603998324358823,0.043488933369561715,0.02270595029288229,0.011161829281777197,0.025851496172069815,0.03685388872168788,0.0894654866756105,0.08123347789469898,0.03128285718836048,0.04521064833466313,0.020666417742025343,1.0,0.039664123225779335,0.0861310092864844,0.10702620168786871,0.08081587457035194,0.0054273942971189496,0.08449536422063027,0.04515616206888463,0.03424065229595822,0.03209127043374975,0.014295850412647764,0.04681332272728744,0.0811563434840521,0.07529749179372974,0.058962533231374285,0.03962527406985461,0.029879838322698908,0.028022666974117393,0.047214039924763654,0.10847258918329644,0.04310479958356092
KOPI HITAM,0.0468498111265736,0.025501168728390977,0.016368707661482462,0.010344448229905925,0.013034226561907763,0.01876581242560172,0.011281890929149697,0.011256979232489544,0.0034119312752187423,0.005415507431120555,0.013328537612633494,0.007368494302935377,0.023646616779948598,0.006226923217027647,0.0184523323531086,0.009158886692779988,0.006539777038738183,0.016326341557489136,0.0,0.022503181438579798,0.012276946315176139,0.01572608777252687,0.006190729667872461,0.0,0.021599351060496593,0.02512866808476727,0.014020865270207768,0.02361563293148512,0.0062505723093849545,0.00862469193608234,0.01131276450621741,0.02579168086808357,0.02218595045515595,0.013716886420807572,0.012617238717735985,0.005719406041986693,0.0344809560445869,1.0,0.01792329783158811,0.026541276089416893,0.024707431869714913,0.0,0.02892913330778453,0.007619288080967393,0.0015084231930983872,0.0067021441014259164,0.002554241253158909,0.010545813991975081,0.01118623169522012,0.010706788903015432,0.004296699351523595,0.012135182871463588,0.0,0.00880650038755696,0.009465815505467958,0.03972387443040372,0.0055426191005075315
MIE AYAM,0.06679317704650407,0.07376102958710243,0.06396986836494106,0.058110040419946586,0.028214359629879292,0.033053222737983425,0.03283586894896576,0.03536645981737217,0.01108374224631106,0.01978529449212974,0.03581561066914725,0.03213057160241635,0.043406184055311006,0.01996602010145833,0.018388965775337093,0.018301328944141094,0.01644302607311353,0.034988795109648516,0.009838300742946244,0.020981036147037866,0.030653595773018304,0.015245576713465466,0.016102931975594155,0.010341425044827794,0.04685625047270942,0.12544913908216668,0.03304729283652468,0.017339726300668434,0.008575268367213604,0.02226660282340433,0.04636737884988028,0.09862099974822489,0.1852923753086112,0.037513935705035764,0.05812095342068191,0.012445224274167367,0.08454222380830433,0.021504249166549014,1.0,0.0636851497206926,0.08150333277249835,0.0036718373473240665,0.06397812284805798,0.039355609114462974,0.03751413189899942,0.02239576310020404,0.011815561145460672,0.03667354652597649,0.07289658940976984,0.06806527239355964,0.06110009811244419,0.038031587179840495,0.034235483041454295,0.024346844667885777,0.053707217533606036,0.11979422906886314,0.034058799349980316
MIE AYAM BAKSO,0.06610906188207764,0.09964430364990393,0.07659309109158298,0.021758173774184274,0.06894962299346394,0.03859908017980208,0.04493151140481902,0.04570464271245213,0.019983876897116906,0.02687114420252923,0.05016486871210771,0.03481169358008758,0.06028286456983598,0.01778876122764205,0.028028702559215267,0.027894275686784435,0.021849642635389452,0.04364521020573676,0.01152220672234449,0.027638598102405047,0.031212654440990896,0.030984006289473197,0.02026986349509722,0.0,0.0690396816013521,0.1624201883651315,0.05009767103359572,0.03692394865908651,0.014350160043738094,0.03455445957674132,0.07022389731541842,0.08611328977654507,0.15399372214411788,0.0374366685612965,0.0757633840491215,0.042500805710215146,0.10225908430448662,0.026541276089416917,0.0602784373492382,1.0,0.11309130713671235,0.0,0.08534762055259286,0.022273666670433866,0.02352007692703816,0.020596505836304794,0.018027977294441114,0.030744962989273622,0.047288469363386404,0.04669815497476124,0.04252805710729838,0.03573295836499055,0.022687010495190844,0.052718730014138106,0.0491598188063393,0.1115780539733034,0.06308974217686177
MIE AYAM CEKER,0.05286519948973074,0.08566253685347214,0.0675676265221578,0.025918569012474874,0.041648220587550216,0.04794575200645691,0.028883024853630326,0.033481285579044055,0.02157968631830713,0.026051873510869676,0.03635368765501012,0.03337441317430952,0.04748108153763128,0.021065898861823536,0.020835885178435105,0.028661578733142734,0.016676482890009302,0.03830005891530072,0.007141270064796094,0.03146058253274078,0.023798024434246917,0.022229561711230434,0.011876013049760046,0.0,0.05312396419598642,0.13861022386946092,0.034191293298639264,0.018085029489350205,0.01067414557405193,0.019501313349277374,0.06438813976226551,0.08753598005534005,0.12304884486829137,0.04547694213767324,0.06776547093311594,0.021408372433473086,0.07587502687926853,0.024707431869714955,0.07817959063852306,0.11309130713671242,1.0,0.0,0.09241246275938221,0.025292191174819394,0.024672354011291253,0.01688664616578778,0.0094096350629347,0.024083000095725227,0.03134007475466826,0.045892491127039685,0.03733587124534675,0.02869861523085557,0.02181230527919735,0.0335545228045111,0.041175972192157025,0.08098991779146794,0.04535968838516619
